id,en,ru,es
en,English,,
ru,Русский,,
es,Español,,
yes,Yes,Да,Si
no,No,Нет,No
close,Close,,
cancel,Cancel,Отменить,
error,Error,Ошибка,Error
save,Save,Cохранить,
noColorsFound,No Colors Found.,Цвета не найдены.,
sort_sortBy,Sort By,Сортировать по,
sort_hue,Hue,Оттенок,
sort_lightest,Lightest,Самый Светлый,
sort_darkest,Darkest,Самый Темный,
sort_finish,Finish,Финиш,
sort_palette,Palette,Палитра,
sort_brand,Brand,Марка,
sort_highestRated,Highest Rated,Cамый Высокий Рейтинг,
sort_lowestRated,Lowest Rated,Самый Низкий Рейтинг,
tags_pigmented,Pigmented,Пигментированная,
tags_sheer,Sheer,Прозрачная,
tags_lotsFallout,Lots of Fallout,Много осадка,
tags_noFallout,No Fallout,Без осадка,
tags_soft,Soft,Мягкая,
tags_creamy,Creamy,Сливочная,
tags_dry,Dry,Сухая,
nameMode_column,Column Letters,,
nameMode_row,Row Letters,,
nameMode_none,None,,
nameDescription_column,Columns will be assigned letters and rows will be assigned numbers.,,
nameDescription_row,Columns will be assigned numbers and rows will be assigned letters.,,
nameDescription_none,Will not auto assign a shade name.,,
finish_matte,Matte,Матовый,
finish_satin,Satin,Сатин,
finish_shimmer,Shimmer,Шиммер ,
finish_metallic,Metallic,Металлический ,
finish_glitter,Glitter,Блеск,
color_pastelRed,Pastel Red,Пастельно-красный,
color_nude,Nude,Телесный ,
color_lightRed,Light Red,Светло-красный,
color_red,Red,Красный,
color_darkRed,Dark Red,Темно-красный,
color_burgundy,Burgundy,Бордовый,
color_pastelOrange,Pastel Orange,Пастельно-оранжевый,
color_peach,Peach,Персиковый,
color_lightOrange,Light Orange,Светло-оранжевый,
color_orange,Orange,Оранжевый,
color_darkOrange,Dark Orange,Темно-оранжевый,
color_lightBrown,Light Brown,Светло-коричневый,
color_beige,Beige,Бежевый,
color_taupe,Taupe,Серо-коричневый,
color_tan,Tan,Желтовато-коричневый,
color_brown,Brown,Коричневый,
color_rust,Rust,Медный,
color_darkBeige,Dark Beige,Темно-бежевый,
color_darkBrown,Dark Brown,Темно-коричневый,
color_chocolate,Chocolate,Шоколадный,
color_pastelYellow,Pastel Yellow,Пастельно-желтый,
color_cream,Cream,Кремовый,
color_lightYellow,Light Yellow,Светло-желтый,
color_yellow,Yellow,Желтый,
color_lightChartreuse,Light Chartreuse,Светло-салатовый,
color_chartreuse,Chartreuse,Салатовый,
color_darkChartreuse,Dark Chartreuse,Темно-салатовый,
color_pastelGreen,Pastel Green,Пастельно-зеленый,
color_lightGreen,Light Green,Светло-зеленый,
color_green,Green,Зеленый,
color_darkGreen,Dark Green,Темно-зеленый,
color_pastelMint,Pastel Mint,Пастельно-мятный,
color_mint,Mint,Мятный,
color_aquamarine,Aquamarine,Аквамарин,
color_darkAquamarine,Dark Aquamarine,Темный-аквамарин,
color_pastelTurquoise,Pastel Turquoise,Пастельно-бирюзовый,
color_lightTurquoise,Light Turquoise,Светло-бирюзовый,
color_turquoise,Turquoise,Бирюзовый,
color_darkTurquoise,Dark Turquoise,Темно-бирюзовый,
color_lightSkyBlue,Light Sky Blue,Светло-голубой,
color_skyBlue,Sky Blue,Голубой,
color_darkSkyBlue,Dark Sky Blue,Темно-голубой,
color_pastelBlue,Pastel Blue,Пастельно-синий,
color_lightBlue,Light Blue,Светло-синий,
color_blue,Blue,Синий,
color_darkBlue,Dark Blue,Темно-синий,
color_pastelLavender,Pastel Lavender,Пастельно-лавандовый,
color_lavender,Lavender,Лавандовый,
color_indigo,Indigo,Индиго,
color_darkIndigo,Dark Indigo,Темно-индиго,
color_lightPurple,Light Purple,Светло-фиолетовый,
color_purple,Purple,Фиолетовый,
color_darkPurple,Dark Purple,Темно-фиолетовый,
color_mauve,Mauve,Маув,
color_violet,Violet,Сиреневый,
color_darkViolet,Dark Violet,Темно-сиреневый,
color_pastelPink,Pastel Pink,Пастельно-розовый,
color_lightPink,Light Pink,Светло-розовый,
color_pink,Pink,Розовый,
color_darkPink,Dark Pink,Темно-розовый,
color_white,White,Белый,
color_lightGray,Light Gray,Светло-серый,
color_gray,Gray,Серый,
color_darkGray,Dark Gray,Темно-серый,
color_darkTaupe,Dark Taupe,Темно-серо-коричневый,
color_black,Black,Черный,
screen_allSwatches,All Swatches,,
screen_savedLooks,Saved Looks,,
screen_colorWheel,Color Wheel,,
screen_paletteScanner,Palette Scanner,,
screen_todayLook,Today's Look,,
screen_settings,Settings,Настройка,
screen_swatch,Edit Swatch,,
screen_addPalette,Add Palette,,
screen_tutorial,Tutorial,Учебник,
help_colorWheel_0,This screen allows you to find the nearest swatch to the color you choose on a color wheel. This is helpful if you may be copying a face chart or have a specific color in mind.,,
help_colorWheel_1,"To use the color wheel,% first drag over the wheel to select the color. The further from the center you go,% the more bright and saturated the color is. Then,% drag the bar below it to select how dark or light the shade. The color to the right of this shows the final color.",,
